127.0.0.1, 2023-05-26 15:56:09, GET, /welcome/default/index, HTTP/1.1, 200, 0.123738
127.0.0.1, 2023-05-26 15:56:09, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000732
127.0.0.1, 2023-05-26 15:56:09, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000393
127.0.0.1, 2023-05-26 15:56:09, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000550
127.0.0.1, 2023-05-26 15:56:09, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000954
127.0.0.1, 2023-05-26 15:56:09, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000850
127.0.0.1, 2023-05-26 15:56:09, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000538
127.0.0.1, 2023-05-26 15:56:09, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000357
127.0.0.1, 2023-05-26 15:56:09, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000432
127.0.0.1, 2023-05-26 15:56:09, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000272
127.0.0.1, 2023-05-26 15:56:09, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000325
127.0.0.1, 2023-05-26 15:56:11, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 304, 0.001069
127.0.0.1, 2023-05-26 15:57:10, GET, /admin/default/index, HTTP/1.1, 200, 0.145219
127.0.0.1, 2023-05-26 15:57:10, GET, /admin/static/_2.24.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.001496
127.0.0.1, 2023-05-26 15:57:10, GET, /admin/static/_2.24.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001237
127.0.0.1, 2023-05-26 15:57:10, GET, /admin/static/_2.24.1/js/jquery.js, HTTP/1.1, 200, 0.001088
127.0.0.1, 2023-05-26 15:57:10, GET, /admin/static/_2.24.1/js/calendar.js, HTTP/1.1, 200, 0.000773
127.0.0.1, 2023-05-26 15:57:10, GET, /admin/static/_2.24.1/js/web2py.js, HTTP/1.1, 200, 0.001473
127.0.0.1, 2023-05-26 15:57:10, GET, /admin/static/_2.24.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.001514
127.0.0.1, 2023-05-26 15:57:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000215
127.0.0.1, 2023-05-26 15:57:12, POST, /admin/default/index, HTTP/1.1, 303, 0.007563
127.0.0.1, 2023-05-26 15:57:12, GET, /admin/default/site, HTTP/1.1, 200, 0.035830
127.0.0.1, 2023-05-26 15:57:13, POST, /admin/default/check_version, HTTP/1.1, 200, 0.932107
127.0.0.1, 2023-05-26 15:57:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000266
127.0.0.1, 2023-05-26 15:59:50, GET, /movies/static/movies/vendor/bootstrap/css/bootstrap.min.css, HTTP/1.1, 200, 0.000652
127.0.0.1, 2023-05-26 15:59:50, GET, /movies/static/movies/vendor/jquery.min.js, HTTP/1.1, 200, 0.002173
127.0.0.1, 2023-05-26 15:59:50, GET, /movies/static/movies/vendor/vue.js, HTTP/1.1, 200, 0.003140
127.0.0.1, 2023-05-26 15:59:50, GET, /movies/static/movies/vendor/bootstrap/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001257
127.0.0.1, 2023-05-26 15:59:50, GET, /movies/static/movies/vendor/loadash.js, HTTP/1.1, 200, 0.001859
127.0.0.1, 2023-05-26 15:59:50, GET, /movies/static/movies/movies.json, HTTP/1.1, 200, 0.000469
127.0.0.1, 2023-05-26 15:59:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000231
127.0.0.1, 2023-05-26 16:00:05, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.001919
127.0.0.1, 2023-05-26 16:01:20, GET, /movies/static/movies/index.html, HTTP/1.1, 200, 0.000662
127.0.0.1, 2023-05-26 16:04:59, GET, /movie/static/movies/index.html, HTTP/1.1, 404, 0.000360
127.0.0.1, 2023-05-26 16:04:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000172
127.0.0.1, 2023-05-26 16:05:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000175
127.0.0.1, 2023-05-26 16:06:22, GET, /movie/static/movies/index.html, HTTP/1.1, 404, 0.000367
127.0.0.1, 2023-05-26 16:06:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000172
127.0.0.1, 2023-05-26 16:07:41, GET, /movies/static/movies/vendor/bootstrap/css/bootstrap.min.css.map, HTTP/1.1, 200, 0.000449
127.0.0.1, 2023-05-26 16:07:41, GET, /movies/static/movies/vendor/star-rating.min.js.map, HTTP/1.1, 404, 0.000289
127.0.0.1, 2023-05-26 16:07:41, GET, /movies/static/movies/vendor/axios.min.map, HTTP/1.1, 404, 0.000346
127.0.0.1, 2023-05-26 16:07:41, GET, /movies/static/movies/vendor/bootstrap/js/bootstrap.bundle.min.js.map, HTTP/1.1, 200, 0.000798
127.0.0.1, 2023-05-26 16:29:12, GET, /admin/default/site, HTTP/1.1, 200, 0.030945
127.0.0.1, 2023-05-26 16:29:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000205
127.0.0.1, 2023-05-26 18:04:23, GET, /, HTTP/1.1, 303, 0.005130
127.0.0.1, 2023-05-26 18:04:23, GET, /welcome/default/index, HTTP/1.1, 200, 0.134821
127.0.0.1, 2023-05-26 18:04:24, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000598
127.0.0.1, 2023-05-26 18:04:26, GET, /admin/default/index, HTTP/1.1, 200, 0.138033
127.0.0.1, 2023-05-26 18:04:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000148
127.0.0.1, 2023-05-26 18:04:28, POST, /admin/default/index, HTTP/1.1, 303, 0.007177
127.0.0.1, 2023-05-26 18:04:28, GET, /admin/default/site, HTTP/1.1, 200, 0.033979
127.0.0.1, 2023-05-26 18:04:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000173
127.0.0.1, 2023-05-26 18:04:29, POST, /admin/default/check_version, HTTP/1.1, 200, 0.809552
127.0.0.1, 2023-05-26 18:06:45, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.001305
127.0.0.1, 2023-05-26 18:06:55, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.001317
127.0.0.1, 2023-05-26 18:07:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000190
127.0.0.1, 2023-05-26 18:08:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000234
127.0.0.1, 2023-05-27 00:16:23, GET, /movies/static/movies/index.html, HTTP/1.1, 200, 0.008722
127.0.0.1, 2023-05-27 00:16:24, GET, /favicon.ico, HTTP/1.1, 400, 0.003677
127.0.0.1, 2023-05-27 00:16:32, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.004973
127.0.0.1, 2023-05-27 00:18:22, GET, /movies/static/movies/vendor/star-rating.min.js.map, HTTP/1.1, 404, 0.001408
127.0.0.1, 2023-05-27 00:18:22, GET, /movies/static/movies/vendor/axios.min.map, HTTP/1.1, 404, 0.000345
127.0.0.1, 2023-05-27 00:21:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000395
